Short Form,Long Form,id
USAID,United States Agency for International Development,https://openalex.org/institutions/i2801582665
ARC,Appalachian Regional Commission,https://openalex.org/institutions/i2801578990
DHS,Department of Homeland Security,https://openalex.org/institutions/i1282113950
DOC,Department of Commerce,https://openalex.org/institutions/i1343035065
DOD,Department of Defense,https://openalex.org/institutions/i1330347796
DOE,Department of Energy,https://openalex.org/institutions/i1330989302
DOI,Department of the Interior,https://openalex.org/institutions/i1335927249
DOJ,Department of Justice,https://openalex.org/institutions/i1314586196
DOT,Department of Transportation,
ED,Department of Education,
EPA,Environmental Protection Agency,
HHS,Department of Health and Human Services,
NASA,National Aeronautics and Space Administration,
NRC,Nuclear Regulatory Commission,
NSF,National Science Foundation,
SSA,Social Security Administration,
USDA,Department of Agriculture,
