Publication date,DOI,Title,Authors Raw Affiliation
2023-06,10.1016/j.pmatsci.2023.101090,A review on the dynamic-mechanical behaviors of high-entropy alloys,"Tang, Yu (College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China); Wang, Ruixin (College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China); Xiao, Bin (Shenzhen Institute of Advanced Electronic Materials, Shenzhen 518055, China); Zhang, Zhouran (College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China); Li, Shun (College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China); Qiao, Junwei (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China); Bai, Shuxin (College of Aerospace Science and Engineering, National University of Defense Technology, Changsha 410073, China); Zhang, Yong (State Key Laboratory for Advanced Metals and Materials, University of Science and Technology Beijing, Beijing 100083, China); Liaw, Peter K. (Department of Materials Science and Engineering, The University of Tennessee, Knoxville, TN 37996, USA)"
2023-06,10.1016/j.physd.2023.133695,The coupled modified Yajima Oikawa system: Model derivation and soliton solutions,"Chen, Junchao (Department of Mathematics, Lishui University, Lishui, 323000, China); Feng, Bao-Feng (School of Mathematical and Statistical Sciences, The University of Texas Rio Grande Valley, Edinburg, TX, USA); Maruno, Ken-ichi (Department of Applied Mathematics, Waseda University, Shinjuku, Tokyo 169-8555, Japan)"
2023-06,10.1016/j.eng.2022.10.017,Communicative Learning: A Unified Learning Formalism,"Yuan, Luyao (Beijing Institute for General Artificial Intelligence, Beijing 100086, China; Department of Computer Science, University of California, Los Angeles, CA 90024, USA); Zhu, Song-Chun (Beijing Institute for General Artificial Intelligence, Beijing 100086, China; Department of Automation, Tsinghua University, Beijing 100084, China; Institute for Artificial Intelligence, Peking University, Beijing 100871, China)"
2023-06,10.1016/j.coldregions.2023.103851,Comparative study of different materials for insulated pavement in cold regions,"Zhuo, Zhuang (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA; School of Safety Engineering, North China Institute of Science and Technology, 467 Xueyuan Rd, Sanhe, Langfang, Hebei 065201, China); Zhu, Cheng (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA); Ali, Ayman (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA); Mehta, Yusuf (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA); Lein, Wade (US Army Corps of Engineers, Engineering Research and Development Center, Cold Regions Research and Engineering Laboratory, 72 Lyme Road, Hanover, NH 03755-1290, USA); DeCarlo, Christopher (US Army Corps of Engineers, Engineering Research and Development Center, Cold Regions Research and Engineering Laboratory, 72 Lyme Road, Hanover, NH 03755-1290, USA); Elshaer, Mohamed (US Army Corps of Engineers, Engineering Research and Development Center, Cold Regions Research and Engineering Laboratory, 72 Lyme Road, Hanover, NH 03755-1290, USA); Hewage, Shaini Dilsha Aluthgun (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA); Cai, Weiling (Center for Research and Education in Advanced Transportation Engineering Systems (CREATEs), Rowan University, New Jersey 08028, USA)"
2023-06,10.1016/j.mtcomm.2023.106002,An atomistic study of plastic deformation of SmCo5 by amorphous shear bands,"Wang, Niuniu (Shanxi Key Laboratory of Biomedical Metal Materials, College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China; CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China); Luo, Hubin (CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China); Liu, Lei (CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China); Ding, Yong (CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China); Chen, Renjie (CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China); Zhang, Xiangyu (Shanxi Key Laboratory of Biomedical Metal Materials, College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China); Yao, Xiaohong (Shanxi Key Laboratory of Biomedical Metal Materials, College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan 030024, China); Szlufarska, Izabela (Department of Materials Science and Engineering, University of Wisconsin, 1509 University Avenue, Madison, WI 53706-1595, USA); Yan, Aru (CISRI NIMTE Joint Innovation Center for Rare Earth Permanent Magnets, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China; Key Laboratory of Magnetic Materials and Devices, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo 315201, China)"
2023-06,10.1016/j.ijheatfluidflow.2023.109140,A coupled framework for symbolic turbulence models from deep-learning,"Lav, Chitrarth (Department of Mechanical Engineering, University of Melbourne, Australia; CFD Methodology Group, Scuderia AlphaTauri F1, United Kingdom); Banko, Andrew J. (United States Military Academy, Westpoint, United States of America); Waschkowski, Fabian (Department of Mechanical Engineering, University of Melbourne, Australia); Zhao, Yaomin (HEDPS, Center for Applied Physics and Technology, and College of Engineering, Peking University, China); Elkins, Christopher J. (Department of Mechanical Engineering, Stanford University, United States of America); Eaton, John K. (Department of Mechanical Engineering, Stanford University, United States of America); Sandberg, Richard D. (Department of Mechanical Engineering, University of Melbourne, Australia)"
2023-06,10.1016/j.mtphys.2023.101094,Spin-phonon interactions induced anomalous thermal conductivity in nickel (II) oxide,"Sun, Qiyang (Mechanical Engineering, University of California, Riverside, Riverside, CA, 92521, USA); Hou, Songrui (Materials Science and Engineering, University of California, Riverside, Riverside, CA, 92521, USA); Wei, Bin (Mechanical Engineering, University of California, Riverside, Riverside, CA, 92521, USA; Henan Key Laboratory of Materials on Deep-Earth Engineering, School of Materials Science and Engineering, Henan Polytechnic University, Jiaozuo, 454000, China); Su, Yaokun (Materials Science and Engineering, University of California, Riverside, Riverside, CA, 92521, USA); Ortiz, Victor (Mechanical Engineering, University of California, Riverside, Riverside, CA, 92521, USA); Sun, Bo (Tsinghua-Berkeley Shenzhen Institute and Guangdong Provincial Key Laboratory of Thermal Management Engineering and Materials, TSIGS, Tsinghua University, Shenzhen, 518055, China); Lin, Jiao Y.Y. (Neutron Data Analysis and Visualization Division, Oak Ridge National Laboratory, Oak Ridge, TN 37830, USA); Smith, Hillary (Department of Physics and Astronomy, Swarthmore College, Swarthmore, PA, 19081, USA); Danilkin, Sergey (Australian Centre for Neutron Scattering, Australian Nuclear Science and Technology Organization, Lucas Heights, NSW, 2234, Australia); Abernathy, Douglas L. (Neutron Scattering Division, Oak Ridge National Laboratory, Oak Ridge, TN, 37830, USA); Wilson, Richard (Mechanical Engineering, University of California, Riverside, Riverside, CA, 92521, USA); Li, Chen (Mechanical Engineering, University of California, Riverside, Riverside, CA, 92521, USA; Materials Science and Engineering, University of California, Riverside, Riverside, CA, 92521, USA)"
2023-06,10.1016/j.msea.2023.145136,Exploring multicomponent eutectic alloys along an univariant eutectic line,"Jin, Xi (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Xue, Zan (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Mao, Zhouzhu (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Guo, Ruipeng (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Wang, Xuejiao (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Shi, Xiaohui (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Yin, Shaochun (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Zhang, Min (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Lan, Aidong (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China); Liaw, Peter K. (Department of Materials Science and Engineering, The University of Tennessee, Knoxville, TN, 37996, USA); Qiao, Junwei (College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Key Laboratory of Interface Science and Engineering in Advanced Materials, Ministry of Education, Taiyuan University of Technology, Taiyuan, 030024, China)"
2023-06,10.1016/j.tcrr.2023.06.001,Recent advancements in aircraft and in situ observations of tropical cyclones,"Holbach, Heather M. (Florida State University, Northern Gulf Institute, Tallahassee, USA; NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA); Bousquet, Olivier (Laboratoire de L Atmosph re et des Cyclones, Sainte Clotilde, France; Institute for Coastal and Marine Research, Nelson Mandela University, Gqeberha, South Africa); Bucci, Lisa (NOAA/NWS/National Hurricane Center, Miami, USA); Chang, Paul (NOAA/National Environmental Satellite, Data and Information Service, College Park, USA); Cione, Joe (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA); Ditchek, Sarah (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA; Cooperative Institute for Marine and Atmospheric Studies, University of Miami, Miami, FL, USA); Doyle, Jim (Naval Research Laboratory, Monterey, USA); Duvel, Jean-Philippe (Laboratoire de M t orologie Dynamique, Paris, France); Elston, Jack (Black Swift Technologies, Boulder, USA); Goni, Gustavo (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA); Hon, Kai Kwong (Hong Kong Observatory, Hong Kong, China); Ito, Kosuke (Disaster Prevention Research Institute, Kyoto University, Gokasho, Japan; University of the Ryukyus, Okinawa, Japan; Yokohama National University, Yokohama, Japan); Jelenak, Zorana (NOAA/National Environmental Satellite, Data and Information Service, College Park, USA; University Corporation for Atmospheric Research, Boulder, USA); Lei, Xiaotu (Shanghai Meteorological Service, Shanghai, China); Lumpkin, Rick (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA); McMahon, Clive R. (Sydney Institute of Marine Science, Mosman, Australia); Reason, Christopher (University of Cape Town, Rondebosch, South Africa); Sanabia, Elizabeth (United States Naval Academy, Annapolis, USA); Shay, Lynn Keith (University of Miami, Miami, USA); Sippel, Jason A. (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA); Sushko, Andrey (Windborne Systems, Palo Alto, USA); Tang, Jie (Asia-Pacific Typhoon Collaborative Research Center, Shanghai, China; Shanghai Typhoon Institute, CMA, Shanghai, China); Tsuboki, Kazuhisa (Nagoya University, Nagoya, Japan; Yokohama National University, Yokohama, Japan); Yamada, Hiroyuki (University of the Ryukyus, Okinawa, Japan; Yokohama National University, Yokohama, Japan); Zawislak, Jonathan (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA; Cooperative Institute for Marine and Atmospheric Studies, University of Miami, Miami, FL, USA; NOAA/OMAO/Aircraft Operations Center, Lakeland, USA); Zhang, Jun A. (NOAA/OAR/Atlantic Oceanographic and Meteorological Laboratory, Miami, USA; Cooperative Institute for Marine and Atmospheric Studies, University of Miami, Miami, FL, USA)"
6/1/2023,10.1039/d2nr06861c,Post-annealing optimization of the heteroepitaxial La-doped SrSnO 3 integrated on silicon via ALD,"Zhang, Yu (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Hu, Shen (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Chen, Pei-Yu (Department of Chemical Engineering, The University of Texas at Austin, Austin, Texas 78712, USA. ekerdt@utexas.edu.); Zhu, Jiyuan (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Chen, Bojia (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Bai, Rongxu (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Zhu, Hao (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Chen, Lin (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Zhang, David W (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Lee, Jack C (Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, Texas 78758, USA.); Sun, Qingqing (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.); Ekerdt, John G (Department of Chemical Engineering, The University of Texas at Austin, Austin, Texas 78712, USA. ekerdt@utexas.edu.); Ji, Li (School of Microelectronics, Fudan University, Shanghai 200433, China. hushen@fudan.edu.cn.; Hubei Yangtz Memory Laboratories, Wuhan 430205, China. lji@fudan.edu.cn.)"
