gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
968,https://openalex.org/F4320306076,National Science Foundation,DMR-1720139,,,,,,,,,,
2,https://openalex.org/F4320332161,National Institutes of Health,P30 (CA008748),,,,,,,,,,
8,https://openalex.org/F4320321001,National Natural Science Foundation of China,51871092,,,,,,,,,,
3,https://openalex.org/F4320332959,Defense Human Resources Activity,CA210784,,,,,,,,,,
7,https://openalex.org/F4320321001,National Natural Science Foundation of China,12172123,,,,,,,,,,
7726,https://openalex.org/F4320337395,Division of Emerging Frontiers in Research and Innovation,EFMA-164098,,,,,,,,,,
20,https://openalex.org/F4320306159,W. M. Keck Foundation,https://openalex.org/F4320306159,,,,,,,,,,
21,https://openalex.org/F4320320879,Deutsche Forschungsgemeinschaft,https://openalex.org/F4320320879,,,,,,,,,,
1,https://openalex.org/F4320322252,Israel Science Foundation,302/21,,,,,,,,,,
22,,Defense Human Resources Activity,,,,,,,,,,,
23,,Israel Science Foundation,,,,,,,,,,,
24,,National Institutes of Health,,,,,,,,,,,
25,,National Science Foundation,,,,,,,,,,,
26,,National Natural Science Foundation of China,,,,,,,,,,,
27,,Foundation for Innovative Research Groups of the National Natural Science Foundation of China,,,,,,,,,,,
28,,National Natural Science Foundation of China,,,,,,,,,,,
29,,National Science Foundation,,,,,,,,,,,
30,,National Natural Science Foundation of China,,,,,,,,,,,
31,,National Natural Science Foundation of China,,,,,,,,,,,
32,,National Science Foundation,,,,,,,,,,,
33,,National Science Foundation,,,,,,,,,,,
34,,National Science Foundation,,,,,,,,,,,
35,,Army Research Office,,,,,,,,,,,
36,,National Science Foundation,,,,,,,,,,,
37,,National Natural Science Foundation of China,,,,,,,,,,,
38,,Office of Naval Research,,,,,,,,,,,
39,,King Abdullah University of Science and Technology,,,,,,,,,,,
40,,National Key Research and Development Program of China,,,,,,,,,,,
41,,National Natural Science Foundation of China,,,,,,,,,,,
42,,Army Research Office,,,,,,,,,,,
43,,National Natural Science Foundation of China,,,,,,,,,,,
44,,National Natural Science Foundation of China,,,,,,,,,,,
45,,National Key Research and Development Program of China,,,,,,,,,,,
46,,National Natural Science Foundation of China,,,,,,,,,,,
47,,Army Research Office,,,,,,,,,,,
48,,National Natural Science Foundation of China,,,,,,,,,,,
49,,King Abdullah University of Science and Technology,,,,,,,,,,,
50,,National Natural Science Foundation of China,,,,,,,,,,,
51,,Science and Technology Commission of Shanghai Municipality,,,,,,,,,,,
52,,National Natural Science Foundation of China,,,,,,,,,,,
53,,National Natural Science Foundation of China,,,,,,,,,,,
54,,National Natural Science Foundation of China,,,,,,,,,,,
55,,National Natural Science Foundation of China,,,,,,,,,,,
56,,National Natural Science Foundation of China,,,,,,,,,,,
57,,National Natural Science Foundation of China,,,,,,,,,,,
58,,China Postdoctoral Science Foundation,,,,,,,,,,,
59,,Natural Science Foundation of Jiangsu Province,,,,,,,,,,,
8199,https://openalex.org/F4320322392,Tsinghua University,2022660219,,,,,,,,,,
8200,https://openalex.org/F4320338281,Army Research Office,W911NF2320057,,,,,,,,,,
60,,China Postdoctoral Science Foundation,,,,,,,,,,,
61,,Vehicle Technologies Office,,,,,,,,,,,
62,,Air Force Office of Scientific Research,,,,,,,,,,,
82,,Army Research Office,,,,,,,,,,,
83,,DEVCOM Army Research Laboratory,,,,,,,,,,,
84,,National Science Foundation,,,,,,,,,,,
63,,U.S. Army Corps of Engineers,,,,,,,,,,,
64,,Office of Naval Research,,,,,,,,,,,
65,,Army Research Office,,,,,,,,,,,
66,,Office of Naval Research,,,,,,,,,,,
85,,Basic Energy Sciences,,,,,,,,,,,
86,,Army Research Office,,,,,,,,,,,
87,,Natural Science Foundation of Zhejiang Province,,,,,,,,,,,
88,,Science and Engineering Research Board,,,,,,,,,,,
89,,Army Research Office,,,,,,,,,,,
90,,Science and Engineering Research Board,,,,,,,,,,,
91,,Division of Materials Research,,,,,,,,,,,
92,,National Science Foundation,,,,,,,,,,,
67,,National Science Foundation,,,,,,,,,,,
68,,Air Force Office of Scientific Research,,,,,,,,,,,
69,,National Science Foundation,,,,,,,,,,,
70,,National Science Foundation,,,,,,,,,,,
71,,National Science Foundation,,,,,,,,,,,
72,,Office of Science,,,,,,,,,,,
73,,Basic Energy Sciences,,,,,,,,,,,
74,,Army Research Office,,,,,,,,,,,
75,,Gordon and Betty Moore Foundation,,,,,,,,,,,
76,,National Science Foundation,,,,,,,,,,,
77,,U.S. Department of Commerce,,,,,,,,,,,
78,,Army Research Office,,,,,,,,,,,
79,,National Science Foundation,,,,,,,,,,,
80,,National Natural Science Foundation of China,,,,,,,,,,,
81,,National Science Foundation,,,,,,,,,,,
93,,National Science Foundation,,,,,,,,,,,
94,,National Science Foundation,,,,,,,,,,,
95,,Deutsche Forschungsgemeinschaft,,,,,,,,,,,
96,,Air Force Office of Scientific Research,,,,,,,,,,,
97,,Development and Reform Commission of Shenzhen Municipality,,,,,,,,,,,
98,,Shenzhen Fundamental Research Program,,,,,,,,,,,
99,,Russian Science Foundation,,,,,,,,,,,
100,,Office of Naval Research,,,,,,,,,,,
101,,Army Research Office,,,,,,,,,,,
102,,National Science Foundation,,,,,,,,,,,
103,,Office of Naval Research,,,,,,,,,,,
104,,National Science Foundation,,,,,,,,,,,
105,,U.S. Department of Energy,,,,,,,,,,,
106,,Gordon and Betty Moore Foundation,,,,,,,,,,,
107,,National Science Foundation,,,,,,,,,,,
108,,Danmarks Frie Forskningsfond,,,,,,,,,,,
109,,Defense Advanced Research Projects Agency,,,,,,,,,,,
110,,"Teknologi og Produktion, Det Frie Forskningsråd",,,,,,,,,,,
111,,National Science Foundation,,,,,,,,,,,
112,,National Natural Science Foundation of China,,,,,,,,,,,
113,,Generalitat Valenciana,,,,,,,,,,,
114,,Institute for Basic Science,,,,,,,,,,,
115,,Generalitat Valenciana,,,,,,,,,,,
