oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
11682,Southeastern Community College - Iowa,196045,"$130,000.00",2023,USA,,,,,,,,,,,,
8694,Howard University,196852,"$29,811,000.00",2021,USA,"$2,624,000.00","$253,000.00","$24,932,000.00","$225,000.00","$6,166,000.00",$0.00,"$1,243,000.00","$1,176,000.00","$12,094,000.00","$2,860,000,000.00","$839,000,000.00",$0.00
3,"Queensborough Community College, CUNY",114096,$488.00,2022,USA,,,,,,,,,,,,
8776,Northeastern Illinois University,114073,"$2,190,000.00",2021,USA,$0.00,$0.00,"$1,084,000.00",$0.00,"$802,000.00","$27,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
9374,Texas A&M International University,198235,"$743,000.00",2021,USA,$0.00,$0.00,"$37,000.00",$0.00,"$206,000.00","$35,000.00","$965,000.00","$797,000.00","$965,000.00","$85,000,000.00","$628,000,000.00","$22,000,000.00"
8520,Alabama State University,113864,"$2,456,000.00",2021,USA,"$73,000.00",$0.00,"$942,000.00","$1,000.00","$1,322,000.00",$0.00,$0.00,$0.00,$0.00,"$287,000,000.00","$6,000,000.00",$0.00
65,Yeshiva University,212102,"$1,247.00",2022,USA,"$27,000.00",$0.00,"$841,000.00",$0.00,"$682,000.00","$63,000.00","$82,000.00",$0.00,"$4,765,000.00",$0.00,"$349,000,000.00","$465,000,000.00"
51,SUNY Downstate Health Sciences University,216649,"$30,559.00",2022,USA,"$1,149,000.00",$0.00,"$23,465,000.00",$0.00,"$405,000.00",$0.00,"$62,000.00","$31,000.00","$3,816,000.00","$177,000,000.00","$1,475,000,000.00","$338,000,000.00"
11,Icahn School of Medicine at Mount Sinai,219123,"$462,027.00",2022,USA,"$21,977,000.00",$0.00,"$585,539,000.00","$396,000.00","$1,299,000.00","$85,000.00","$1,350,000.00","$3,652,000.00","$132,627,000.00","$81,384,000,000.00","$50,251,000,000.00","$15,408,000,000.00"
59,University of Rochester,218332,"$214,069.00",2022,USA,"$12,329,000.00","$91,685,000.00","$207,285,000.00","$1,825,000.00","$20,026,000.00","$20,000.00","$1,333,000.00","$2,037,000.00","$53,315,000.00","$36,329,000,000.00","$18,783,000,000.00","$5,838,000,000.00"
50,Binghamton University,218307,"$14,729.00",2022,USA,"$4,211,000.00","$1,253,000.00","$10,105,000.00","$1,000.00","$7,911,000.00",$0.00,"$1,407,000.00","$5,225,000.00","$94,515,000.00","$3,458,000,000.00","$1,306,000,000.00","$1,490,000,000.00"
26,Rensselaer Polytechnic Institute,218170,"$32,329.00",2022,USA,"$12,091,000.00","$10,768,000.00","$11,168,000.00","$2,569,000.00","$11,939,000.00",$0.00,"$2,070,000.00","$3,485,000.00","$47,193,000.00","$15,282,000,000.00","$2,012,000,000.00","$3,232,000,000.00"
60,United States Military Academy,120281,"$2,014.00",2022,USA,"$19,072,000.00","$25,000.00","$330,000.00",$0.00,"$14,000.00",$0.00,"$267,000.00",$0.00,"$95,000.00","$482,000,000.00","$280,000,000.00","$276,000,000.00"
27,Rochester Institute of Technology,216480,"$17,473.00",2022,USA,"$8,788,000.00","$1,921,000.00","$4,984,000.00","$2,836,000.00","$10,243,000.00","$240,000.00","$4,361,000.00","$7,076,000.00","$16,109,000.00","$2,789,000,000.00","$1,998,000,000.00","$1,038,000,000.00"
72,East Carolina University,217846,"$19,416.00",2022,USA,"$2,238,000.00","$734,000.00","$17,064,000.00","$277,000.00","$5,386,000.00","$178,000.00","$3,771,000.00","$408,000.00","$19,542,000.00","$3,991,000,000.00","$1,783,000,000.00","$321,000,000.00"
2,"Queens College, CUNY",199184,"$4,998.00",2022,USA,"$108,000.00","$8,749,000.00","$3,377,000.00",$0.00,"$2,498,000.00","$24,000.00",$0.00,"$1,362,000.00","$4,717,000.00","$83,000,000.00","$439,000,000.00","$77,000,000.00"
