"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120390","Ofra Novoplansky","https://orcid.org/0000-0002-1239-7856",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5050029751"
"120391","Avital Beeri Shnerb","https://orcid.org/0000-0002-7780-9217",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5063958479"
"120392","Divyasree Marripati",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5092777446"
"120393","Sankar Jagadeeshan","https://orcid.org/0000-0002-3778-8757",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5024025087"
"120394","Raghda Abu Shareb",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5092677717"
"120395","Cristina Conde‐López","https://orcid.org/0000-0001-9928-790X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5008882348"
"120396","Jonathan Zorea","https://orcid.org/0000-0002-8602-8869",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5073065620"
"120397","Manu Prasad","https://orcid.org/0000-0001-7690-3511",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5014179206"
"120398","Talal Ben Lulu","https://orcid.org/0000-0001-5337-9497",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5027382876"
"120399","Ksenia M. Yegodayev","https://orcid.org/0000-0003-0721-838X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5081303755"
"120400","Chen Benafsha",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5037101074"
"120401","Yushi Li","https://orcid.org/0000-0003-3802-3171",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5043722672"
"120402","Dexin Kong","https://orcid.org/0000-0002-8064-1435",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5015899762"
"120403","Fengshen Kuo","https://orcid.org/0000-0003-1797-2896",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5005241338"
"120404","Luc G.T. Morris","https://orcid.org/0000-0002-4417-2280",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5084443648"
"120405","Ina Kurth","https://orcid.org/0000-0001-9261-5165",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5039276843"
"120406","Jochen Heß","https://orcid.org/0000-0003-3493-1711",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5045047262"
"120407","Moshe Elkabets","https://orcid.org/0000-0003-3634-9098",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5028992290"
"120408","Xianfeng Liang","https://orcid.org/0000-0003-4055-1985",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5072210488"
"120409","Huaihao Chen","https://orcid.org/0000-0003-0253-2089",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5029261182"
"120410","Neville Sun",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5063352878"
"120411","Bin Luo","https://orcid.org/0000-0003-2419-8683",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5101767171"
"120412","Е. В. Голубева",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5112383351"
"120413","Cai Müller",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5104257924"
