"gid","funderid","fundername","awardid"
"1","https://openalex.org/F4320322252","Israel Science Foundation","302/21"
"2","https://openalex.org/F4320332161","National Institutes of Health","P30 (CA008748)"
"3","https://openalex.org/F4320332959","Defense Human Resources Activity","CA210784"
"4","https://openalex.org/F4320306076","National Science Foundation","DMR-1611180"
"5","https://openalex.org/F4320306076","National Science Foundation","DMR-1809640"
"6","https://openalex.org/F4320321001","National Natural Science Foundation of China","12072109"
"7","https://openalex.org/F4320321001","National Natural Science Foundation of China","12172123"
"8","https://openalex.org/F4320321001","National Natural Science Foundation of China","51871092"
"9","https://openalex.org/F4320327720","Foundation for Innovative Research Groups of the National Natural Science Foundation of China","51621004"
"20","https://openalex.org/F4320306159","W. M. Keck Foundation","https://openalex.org/F4320306159"
"21","https://openalex.org/F4320320879","Deutsche Forschungsgemeinschaft","https://openalex.org/F4320320879"
"22",NULL,"Defense Human Resources Activity",NULL
"23",NULL,"Israel Science Foundation",NULL
"24",NULL,"National Institutes of Health",NULL
"25",NULL,"National Science Foundation",NULL
"26",NULL,"National Natural Science Foundation of China",NULL
"27",NULL,"Foundation for Innovative Research Groups of the National Natural Science Foundation of China",NULL
"28",NULL,"National Natural Science Foundation of China",NULL
"29",NULL,"National Science Foundation",NULL
"30",NULL,"National Natural Science Foundation of China",NULL
"31",NULL,"National Natural Science Foundation of China",NULL
"32",NULL,"National Science Foundation",NULL
"33",NULL,"National Science Foundation",NULL
"34",NULL,"National Science Foundation",NULL
"35",NULL,"Army Research Office",NULL
"36",NULL,"National Science Foundation",NULL
"37",NULL,"National Natural Science Foundation of China",NULL
"38",NULL,"Office of Naval Research",NULL
"39",NULL,"King Abdullah University of Science and Technology",NULL
"40",NULL,"National Key Research and Development Program of China",NULL
"41",NULL,"National Natural Science Foundation of China",NULL
"42",NULL,"Army Research Office",NULL
"43",NULL,"National Natural Science Foundation of China",NULL
"44",NULL,"National Natural Science Foundation of China",NULL
"45",NULL,"National Key Research and Development Program of China",NULL
"46",NULL,"National Natural Science Foundation of China",NULL
"47",NULL,"Army Research Office",NULL
"48",NULL,"National Natural Science Foundation of China",NULL
"49",NULL,"King Abdullah University of Science and Technology",NULL
"50",NULL,"National Natural Science Foundation of China",NULL
"51",NULL,"Science and Technology Commission of Shanghai Municipality",NULL
"52",NULL,"National Natural Science Foundation of China",NULL
"53",NULL,"National Natural Science Foundation of China",NULL
"54",NULL,"National Natural Science Foundation of China",NULL
"55",NULL,"National Natural Science Foundation of China",NULL
"56",NULL,"National Natural Science Foundation of China",NULL
"57",NULL,"National Natural Science Foundation of China",NULL
"58",NULL,"China Postdoctoral Science Foundation",NULL
"59",NULL,"Natural Science Foundation of Jiangsu Province",NULL
"60",NULL,"China Postdoctoral Science Foundation",NULL
"61",NULL,"Vehicle Technologies Office",NULL
"62",NULL,"Air Force Office of Scientific Research",NULL
"63",NULL,"U.S. Army Corps of Engineers",NULL
"64",NULL,"Office of Naval Research",NULL
"65",NULL,"Army Research Office",NULL
"66",NULL,"Office of Naval Research",NULL
"67",NULL,"National Science Foundation",NULL
"68",NULL,"Air Force Office of Scientific Research",NULL
"69",NULL,"National Science Foundation",NULL
"70",NULL,"National Science Foundation",NULL
"71",NULL,"National Science Foundation",NULL
