"tid","topicid","topicname","subfieldid","subfieldname","fieldid","fieldname","domainid","domainname"
"2","https://openalex.org/T10417","Lung Cancer Treatments and Mutations","https://openalex.org/subfields/2740","Pulmonary and Respiratory Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"3","https://openalex.org/T10952","PI3K/AKT/mTOR signaling in cancer","https://openalex.org/subfields/1312","Molecular Biology","https://openalex.org/fields/13","Biochemistry, Genetics and Molecular Biology","https://openalex.org/domains/1","Life Sciences"
"4","https://openalex.org/T13779","Cancer Mechanisms and Therapy","https://openalex.org/subfields/2734","Pathology and Forensic Medicine","https://openalex.org/fields/27","Medicine","https://openalex.org/domains/4","Health Sciences"
"5","https://openalex.org/T11143","High Entropy Alloys Studies","https://openalex.org/subfields/2210","Mechanical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"6","https://openalex.org/T10626","High-Temperature Coating Behaviors","https://openalex.org/subfields/2202","Aerospace Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"7","https://openalex.org/T12099","Advanced materials and composites","https://openalex.org/subfields/2210","Mechanical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"8","https://openalex.org/T11160","Acoustic Wave Resonator Technologies","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"9","https://openalex.org/T10107","Ferroelectric and Piezoelectric Materials","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"10","https://openalex.org/T10338","Advanced Sensor and Energy Harvesting Materials","https://openalex.org/subfields/2204","Biomedical Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"11","https://openalex.org/T12611","Neural Networks and Reservoir Computing","https://openalex.org/subfields/1702","Artificial Intelligence","https://openalex.org/fields/17","Computer Science","https://openalex.org/domains/3","Physical Sciences"
"12","https://openalex.org/T11996","Random lasers and scattering media","https://openalex.org/subfields/3102","Acoustics and Ultrasonics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"13","https://openalex.org/T10232","Optical Network Technologies","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"14","https://openalex.org/T10275","2D Materials and Applications","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"15","https://openalex.org/T11682","Advanced Condensed Matter Physics","https://openalex.org/subfields/3104","Condensed Matter Physics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"16","https://openalex.org/T12200","Heusler alloys: electronic and magnetic properties","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"17","https://openalex.org/T12302","Advanced Nanomaterials in Catalysis","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"18","https://openalex.org/T10096","Metal-Organic Frameworks: Synthesis and Applications","https://openalex.org/subfields/1604","Inorganic Chemistry","https://openalex.org/fields/16","Chemistry","https://openalex.org/domains/3","Physical Sciences"
"19","https://openalex.org/T10078","Advanced Photocatalysis Techniques","https://openalex.org/subfields/2105","Renewable Energy, Sustainability and the Environment","https://openalex.org/fields/21","Energy","https://openalex.org/domains/3","Physical Sciences"
"20","https://openalex.org/T10045","Organic Electronics and Photovoltaics","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"21","https://openalex.org/T10247","Perovskite Materials and Applications","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"22","https://openalex.org/T11758","Organic and Molecular Conductors Research","https://openalex.org/subfields/2504","Electronic, Optical and Magnetic Materials","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
"23","https://openalex.org/T10049","Magnetic properties of thin films","https://openalex.org/subfields/3107","Atomic and Molecular Physics, and Optics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"24","https://openalex.org/T10657","Topological Materials and Phenomena","https://openalex.org/subfields/3107","Atomic and Molecular Physics, and Optics","https://openalex.org/fields/31","Physics and Astronomy","https://openalex.org/domains/3","Physical Sciences"
"25","https://openalex.org/T10502","Advanced Memory and Neural Computing","https://openalex.org/subfields/2208","Electrical and Electronic Engineering","https://openalex.org/fields/22","Engineering","https://openalex.org/domains/3","Physical Sciences"
"26","https://openalex.org/T10083","Graphene research and applications","https://openalex.org/subfields/2505","Materials Chemistry","https://openalex.org/fields/25","Materials Science","https://openalex.org/domains/3","Physical Sciences"
