"wid","name","_riskflags","ASPIriskrating","_majordefenselabs","_defresearchareas","_subsidiaries","_ecoespmiscon","_supervisingagency","opensanctionsid","_uskta","type","flaggedby","reason","subreason","tid"
"1","CHINA STATE CONSTRUCTION ENGINEERING CORPORATION",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"147381701"
"2","CHINA MOBILE LIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"6532609"
"3","CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"58692540"
"4","TENCENT HOLDINGS LIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"187613638"
"5","CENTRAL HUIJIN ASSET MANAGEMENT CO., LTD.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"266142014"
"6","CHINA SECURITIES FINANCE CO.,LTD.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"177494851"
"7","BEIJING AONAN TIMES REAL ESTATE CO., LTD.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"317226756"
"8","BEYOND CONSTRUCTION COMMERCE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"95257808"
"9","BEIJING ZHONGJIAN ZIZHU HOTEL CO., LTD.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"272900507"
"10","CHINA BUILDING CO., LTD. HEFEI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"334091618"
"11","CHENGDU ZHONGJIAN MINJIANG CONSTRUCTION ENGINEERING INVESTMENT CO LTD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"513644516"
"12","HONG KONG SECURITIES CLEARING COMPANY LIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"49460915"
"13","CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"48957794"
"14","CHINA BUILDING CO., LTD. SHANXI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"427147989"
"15","CHINA BUILDING CO., LTD. JIAXING BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"426626046"
"16","CHINESE TELECOM CORP. MAYANG BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838372"
"17","CHINESE TELECOM CORP. MACHENG KAMEYAMA BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838370"
"18","CHINESE TELECOM CORP. MACHENG HUANG JINQIAO BUSINESS DEPARTMENT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838369"
"19","CHINA TELECOM CO., LTD. LUZHAI BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"270838363"
"20","CHINESE TELECOM CORP. HIGH DENSITY BRANCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jackcookripper","1260h",NULL,"329902136"
