tid,topicid,topicname,subfieldid,subfieldname,fieldid,fieldname,domainid,domainname
27,https://openalex.org/T11277,Thermal properties of materials,https://openalex.org/subfields/2505,Materials Chemistry,https://openalex.org/fields/25,Materials Science,https://openalex.org/domains/3,Physical Sciences
41,https://openalex.org/T10903,Porphyrin and Phthalocyanine Chemistry,https://openalex.org/subfields/2505,Materials Chemistry,https://openalex.org/fields/25,Materials Science,https://openalex.org/domains/3,Physical Sciences
13,https://openalex.org/T10232,Optical Network Technologies,https://openalex.org/subfields/2208,Electrical and Electronic Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences
39,https://openalex.org/T10413,High-pressure geophysics and materials,https://openalex.org/subfields/1908,Geophysics,https://openalex.org/fields/19,Earth and Planetary Sciences,https://openalex.org/domains/3,Physical Sciences
34,https://openalex.org/T13217,Pigment Synthesis and Properties,https://openalex.org/subfields/1604,Inorganic Chemistry,https://openalex.org/fields/16,Chemistry,https://openalex.org/domains/3,Physical Sciences
14,https://openalex.org/T10275,2D Materials and Applications,https://openalex.org/subfields/2505,Materials Chemistry,https://openalex.org/fields/25,Materials Science,https://openalex.org/domains/3,Physical Sciences
43,https://openalex.org/T10591,Theoretical and Computational Physics,https://openalex.org/subfields/3104,Condensed Matter Physics,https://openalex.org/fields/31,Physics and Astronomy,https://openalex.org/domains/3,Physical Sciences
29,https://openalex.org/T10623,Thin-Film Transistor Technologies,https://openalex.org/subfields/2208,Electrical and Electronic Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences
636,https://openalex.org/T12588,Electronic and Structural Properties of Oxides,https://openalex.org/subfields/2505,Materials Chemistry,https://openalex.org/fields/25,Materials Science,https://openalex.org/domains/3,Physical Sciences
7,https://openalex.org/T12099,Advanced materials and composites,https://openalex.org/subfields/2210,Mechanical Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences
32,https://openalex.org/T10018,Advancements in Battery Materials,https://openalex.org/subfields/2208,Electrical and Electronic Engineering,https://openalex.org/fields/22,Engineering,https://openalex.org/domains/3,Physical Sciences
