rorid,name,Carnegie Classification,Entity Type 1,Entity Type 2,Entity Type 3,id
https://ror.org/01sq4yt06,59th Medical Wing,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210119345
https://ror.org/04d0hsa39,711th Human Performance Wing,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482649
https://ror.org/05wnp9598,Air Education and Training Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2802362820
https://ror.org/02cznc894,Air Force Installation and Mission Support Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4391767715
https://ror.org/01e2k1j30,Bureau of Medicine and Surgery,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4391768141
https://ror.org/00qa9vw67,Combat Capabilities Development Command Soldier Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2799998900
https://ror.org/03g2zjp07,Congressionally Directed Medical Research Programs,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210133873
https://ror.org/02caytj08,Defense Advanced Research Projects Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1280581677
https://ror.org/00wa40650,Defense Forensics and Biometrics Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210105214
https://ror.org/03df8gj37,Defense Health Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2800250139
https://ror.org/009heah97,Defense Human Resources Activity,,Government,Federal - Department of Defense,Funder,https://openalex.org/I3024661166
https://ror.org/025nqct78,Defense Intelligence Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1295271775
https://ror.org/001yrmh12,Defense Logistics Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1281833594
https://ror.org/049zppa02,Defense Security Cooperation Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2799548816
https://ror.org/059ja6e58,Defense Technology Security Administration,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210142278
https://ror.org/04tz64554,Defense Threat Reduction Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1331871522
https://ror.org/011hc8f90,DEVCOM Army Research Laboratory,,Government,Federal - Department of Defense,Funder,https://openalex.org/I166416128
https://ror.org/024z17f57,Missile Defense Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1306997873
https://ror.org/02k4pxv54,National Geospatial-Intelligence Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1319259000
https://ror.org/0047bvr32,National Security Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I130440993
https://ror.org/054ajk512,Naval Air Systems Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2801056593
https://ror.org/01zj39k81,Naval Air Warfare Center Aircraft Division,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425451
https://ror.org/00m91n277,Naval Education and Training Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4407990282
https://ror.org/01gs1cg95,Naval Information Warfare Center Pacific,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1339224429
https://ror.org/000ztjy10,Naval Information Warfare Systems Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I2802223155
https://ror.org/05yf8st19,Naval Medical Research Unit San Antonio,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4407990172
https://ror.org/01kk9yv55,Naval Nuclear Propulsion Program (Naval Reactors),,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425473
https://ror.org/03dm1p143,Naval Sea Systems Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1328969757
https://ror.org/01697cy46,Naval Supply Systems Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4407990108
https://ror.org/04mfmy854,NSWC Crane Division,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482724
https://ror.org/012ba0982,NSWC Indian Head,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482648
https://ror.org/01edzc976,Office of Defense Nuclear Nonproliferation,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425278
https://ror.org/01gas4q24,Office of Defense Nuclear Security,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425489
https://ror.org/05h6pya74,Office of Defense Programs,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425358
https://ror.org/00rk2pe57,Office of Naval Research,,Government,Federal - Department of Defense,Funder,https://openalex.org/I175003984
https://ror.org/00q4sx826,Office of the Secretary of Defense,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1296703163
https://ror.org/00htph268,Office of Under Secretary for Science and Innovation,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425289
https://ror.org/03kz56x72,Space Development Agency,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4407990111
https://ror.org/00ew61678,Strategic Environmental Research and Development Program,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4392738298
https://ror.org/0584m4844,U.S. Air Force Research Laboratory Materials and Manufacturing Directorate,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482708
https://ror.org/054yf8v46,U.S. Air Force Research Laboratory Sensors Directorate,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482655
https://ror.org/04k0tth05,U.S. Air Force Test Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4389425236
https://ror.org/011ghy651,U.S. Army Combat Capabilities Development Command Armaments Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482639
https://ror.org/022j0mn33,U.S. Army Combat Capabilities Development Command Chemical Biological Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4387153805
https://ror.org/026zar759,U.S. Army Combat Capabilities Development Command Ground Vehicle System Center,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4388482723
https://ror.org/03bq05s23,U.S. Army Research Institute for the Behavioral and Social Sciences,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210140172
https://ror.org/03agkn750,U.S. Army Space and Missile Defense Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I862801819
https://ror.org/006gmme17,United States Air Force,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210089612
https://ror.org/0055d0g64,United States Air Force Academy,,Government,Federal - Department of Defense,Funder,https://openalex.org/I430641
https://ror.org/011e9bt93,United States Air Force Office of Scientific Research,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210099573
https://ror.org/00afsp483,United States Army,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210088792
https://ror.org/05w4e8v21,United States Army Corps of Engineers,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1306490931
https://ror.org/0593xbv16,United States Army Futures Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210154437
https://ror.org/04vrzee53,United States Army Medical Command,,Government,Federal - Department of Defense,Funder,https://openalex.org/I106965489
https://ror.org/05epdh915,United States Army Research Office,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210163870
https://ror.org/0447fe631,United States Department of Defense,,Government,Federal - Department of Defense,Funder,https://openalex.org/I1330347796
https://ror.org/03ar0mv07,United States Department of the Navy,,Government,Federal - Department of Defense,Funder,https://openalex.org/I3130687028
https://ror.org/05av6m066,United States Marine Corps,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4210162473
https://ror.org/03cs53d16,United States Navy,,Government,Federal - Department of Defense,Funder,https://openalex.org/I4399598358
https://ror.org/0145znz58,Walter Reed Army Institute of Research,,Government,Federal - Department of Defense,Funder,https://openalex.org/I92664306
