"EID","name","namenative","rorid","city","_types","_aliases","wikiurl","establishedyear","geonamesid","countrycode","countryname","grid","_wikidataid","_childror","_parentror","_relatedror","_latlong","status","_acronyms","_links","_predror","_succror","_isni","flagged","openalexid","flatparent","openalexfid","_childid","_parentid","_relatedid"
"224682","Air Education and Training Command",NULL,"https://ror.org/05wnp9598","Fort Sam Houston Joint Base San Antonio","{FED-DOD}","{""Air Training Command"","" The First Command""}","https://en.wikipedia.org/wiki/Air_Education_and_Training_Command",1942,11055091,"US","United States","grid.478225.e",NULL,"{https://ror.org/05jwcsm16,https://ror.org/01sq4yt06}","{https://ror.org/01973x930}","{}","{29.48313,-98.42531}","active","{AETC}","{http://www.aetc.af.mil}","{}","{}","{""""}",NULL,"https://openalex.org/I2802362820","https://ror.org/01973x93","https://openalex.org/F4320337654","{https://openalex.org/I1294991024,https://openalex.org/I4210119345}","{https://openalex.org/I4210102105}",NULL
"208791","DEVCOM Army Research Laboratory",NULL,"https://ror.org/011hc8f90","Adelphi","{FED-DOD}","{""U.S. Army DEVCOM Army Research Laboratory"","" U.S. Army Research Laboratory"","" United States Army DEVCOM Army Research Laboratory"","" United States Army Research Laboratory""}","https://en.wikipedia.org/wiki/United_States_Army_Research_Laboratory",1992,4346991,"US","United States","grid.420282.e",NULL,"{https://ror.org/05epdh915}","{https://ror.org/02rdkx920}","{https://ror.org/04n07f274}","{39.00317,-76.97192}","active","{ARL}","{https://arl.devcom.army.mil}","{https://ror.org/032xmxh33,https://ror.org/02bzz5643;}","{}","{""0000 0001 2151 958X""}",NULL,"https://openalex.org/I166416128","https://ror.org/02rdkx920;","https://openalex.org/F4320338295","{https://openalex.org/I4210163870}","{https://openalex.org/I2802705668}","{https://openalex.org/I4388891755}"
"225156","59th Medical Wing",NULL,"https://ror.org/01sq4yt06","San Antonio","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/59th_Medical_Wing",1941,4726206,"US","United States","grid.476822.d",NULL,"{https://ror.org/025m0q735}","{https://ror.org/05wnp9598}","{}","{29.42412,-98.49363}","active","{MDW}","{http://www.59mdw.af.mil/News/ArticleDisplay/tabid/2553/Article/407547/359th-medical-operations-squadron-welcomes-new-commander.aspx}","{}","{}","{""0000 0004 6040 4031""}",NULL,"https://openalex.org/I4210119345","https://ror.org/05wnp959","https://openalex.org/F4320337790","{https://openalex.org/I2799567722}","{https://openalex.org/I2802362820}",NULL
"199615","United States Marine Corps",NULL,"https://ror.org/05av6m066","Arlington","{FED-DOD}","{Marines,"" United States Marines""}","https://en.wikipedia.org/wiki/United_States_Marine_Corps",1775,4744709,"US","United States","grid.497574.c",NULL,"{https://ror.org/01fb0df08}","{https://ror.org/03ar0mv07}","{}","{38.88101,-77.10428}","active","{USMC}","{https://www.marines.mil/}","{}","{}","{""""}",NULL,"https://openalex.org/I4210162473","https://ror.org/03ar0mv0","https://openalex.org/F4320333448","{https://openalex.org/I2799778796}","{https://openalex.org/I3130687028}",NULL
"225011","U.S. Army Space and Missile Defense Command",NULL,"https://ror.org/03agkn750","Redstone Arsenal","{FED-DOD}","{""United States Army Space and Missile Defense Command""}","https://en.wikipedia.org/wiki/United_States_Army_Space_and_Missile_Defense_Command",1997,7260623,"US","United States","grid.481225.8",NULL,"{https://ror.org/00mexna55}","{}","{}","{34.68387,-86.64764}","active","{SMDC,"" USASMDC""}","{https://www.smdc.army.mil}","{}","{}","{""0000 0004 0414 8782""}",NULL,"https://openalex.org/I862801819",NULL,"https://openalex.org/F4320337629","{https://openalex.org/I4388482694}","{https://openalex.org/I4405253758}",NULL
"224666","Naval Air Systems Command",NULL,"https://ror.org/054ajk512","NAS Pax River","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Naval_Air_Systems_Command",1966,7267585,"US","United States","grid.420427.7",NULL,"{https://ror.org/02wt4s775,https://ror.org/03cap2a49,https://ror.org/01zj39k81}","{https://ror.org/03ar0mv07}","{}","{38.28374,-76.41853}","active","{NAVAIR}","{https://www.navair.navy.mil}","{}","{}","{""0000 0004 0511 8526""}",NULL,"https://openalex.org/I2801056593","https://ror.org/03ar0mv0","https://openalex.org/F4320337657","{https://openalex.org/I196443477,https://openalex.org/I2802749333,https://openalex.org/I4389425451}","{https://openalex.org/I3130687028}",NULL
"133946","Office of Naval Research",NULL,"https://ror.org/00rk2pe57","Arlington","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Office_of_Naval_Research",1946,4744709,"US","United States","grid.482851.2",NULL,"{https://ror.org/04d23a975,https://ror.org/01dy3j343}","{https://ror.org/03ar0mv07}","{}","{38.88101,-77.10428}","active","{ONR}","{https://www.onr.navy.mil/}","{}","{}","{""0000 0001 0257 7469""}",NULL,"https://openalex.org/I175003984","https://ror.org/03ar0mv0","https://openalex.org/F4320337345","{https://openalex.org/I1288214837,https://openalex.org/I4387154147}","{https://openalex.org/I3130687028}",NULL
"206717","United States Air Force Office of Scientific Research",NULL,"https://ror.org/011e9bt93","Arlington","{FED-DOD}","{""""}",NULL,NULL,4744709,"US","United States","grid.507554.6",NULL,"{}","{https://ror.org/02e2egq70}","{}","{38.88101,-77.10428}","active","{AFOSR,"" USAFOSR""}","{http://www.wpafb.af.mil/afrl/afosr}","{}","{}","{""0000 0001 0325 6835""}",NULL,"https://openalex.org/I4210099573","https://ror.org/02e2egq7","https://openalex.org/F4320338279",NULL,"{https://openalex.org/I1280414376}",NULL
"209141","Naval Information Warfare Center Pacific",NULL,"https://ror.org/01gs1cg95","San Diego","{FED-DOD}","{""NIWC Pacific"","" Naval Command, Control and Ocean Surveillance Center"","" Naval Command, Control and Ocean Surveillance Center RDT&E Division"","" SPAWAR Systems Center Pacific"","" SSC Pacific""}","https://en.wikipedia.org/wiki/Space_and_Naval_Warfare_Systems_Center_Pacific",1940,5391811,"US","United States","grid.419445.9",NULL,"{}","{https://ror.org/000ztjy10}","{}","{32.71571,-117.16472}","active","{SPAWAR}","{https://www.niwcpacific.navy.mil}","{https://ror.org/01nejhz12,https://ror.org/03qkqe02}","{}","{""0000 0004 4675 318X""}",NULL,"https://openalex.org/I1339224429","https://ror.org/000ztjy10;","https://openalex.org/F4320338406",NULL,"{https://openalex.org/I2802223155}",NULL
"224615","Defense Health Agency",NULL,"https://ror.org/03df8gj37","Falls Church","{FED-DOD}","{""""}","https://en.wikipedia.org/wiki/Defense_Health_Agency",2013,4758390,"US","United States","grid.478868.d",NULL,"{https://ror.org/00m1mwc36,https://ror.org/02n14ez29,https://ror.org/04vxq1969,https://ror.org/02knc1802,https://ror.org/01sfyq865,https://ror.org/00ajwxp03,https://ror.org/05p4q8207,https://ror.org/02zda6x08,https://ror.org/04ydm6t76,https://ror.org/025cem651,https://ror.org/05ya3ee02,https://ror.org/0278h4n28,https://ror.org/02157xr58,https://ror.org/0421f6a14,https://ror.org/05xde4j27}","{https://ror.org/03b7pda13}","{}","{38.88233,-77.17109}","active","{DHA}","{https://www.health.mil/About-MHS/OASDHA/Defense-Health-Agency}","{}","{}","{""0000 0004 5998 2926""}",NULL,"https://openalex.org/I2800250139","https://ror.org/03b7pda13;","https://openalex.org/F4320332925","{https://openalex.org/I1289568071,https://openalex.org/I1296080982,https://openalex.org/I1303481939,https://openalex.org/I1316158181,https://openalex.org/I1330654748,https://openalex.org/I1335269842,https://openalex.org/I2799584038,https://openalex.org/I2800007282,https://openalex.org/I2800275662,https://openalex.org/I2800363604,https://openalex.org/I2800811450,https://openalex.org/I4210111604,https://openalex.org/I4210115532,https://openalex.org/I4210141013,https://openalex.org/I4210151101}","{https://openalex.org/I2800386880}",NULL
