wid,name,_riskflags,ASPIriskrating,_majordefenselabs,_defresearchareas,_subsidiaries,_ecoespmiscon,_supervisingagency,opensanctionsid,_uskta,type,flaggedby,reason,subreason,tid
36,CHINESE TELECOM CORP. LONGZHOU PIONEER BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902260
7,"BEIJING AONAN TIMES REAL ESTATE CO., LTD.",,,,,,,,,,,jackcookripper,1260h,,317226756
23,CHINESE TELECOM CORP. GAOYOU BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838349
8,BEYOND CONSTRUCTION COMMERCE,,,,,,,,,,,jackcookripper,1260h,,95257808
24,CHINESE TELECOM CORP. MABIAN BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838318
9,"BEIJING ZHONGJIAN ZIZHU HOTEL CO., LTD.",,,,,,,,,,,jackcookripper,1260h,,272900507
44,CHINESE TELECOM CORP. JINGJIANG RICK BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838264
25,CHINESE TELECOM CORP. LONGYOU BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838392
1,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION,,,,,,,,,,,jackcookripper,1260h,,147381701
37,CHINESE TELECOM CORP. LONGZHOU FREEZING TOWN BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902259
26,CHINESE TELECOM CORP. LONGHAI BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838391
14,"CHINA BUILDING CO., LTD. SHANXI BRANCH",,,,,,,,,,,jackcookripper,1260h,,427147989
27,CHINESE TELECOM CORP. LONGJIANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838386
15,"CHINA BUILDING CO., LTD. JIAXING BRANCH",,,,,,,,,,,jackcookripper,1260h,,426626046
28,CHINESE TELECOM CORP. LONGZHOU JINLONG TOWN BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902269
38,CHINESE TELECOM CORP. LONGZHOU PLIOSAURS XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902258
11,CHENGDU ZHONGJIAN MINJIANG CONSTRUCTION ENGINEERING INVESTMENT CO LTD,,,,,,,,,,,jackcookripper,1260h,,513644516
29,CHINESE TELECOM CORP. LONGZHOU BY BU XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902268
12,HONG KONG SECURITIES CLEARING COMPANY LIMITED,,,,,,,,,,,jackcookripper,1260h,,49460915
30,CHINESE TELECOM CORP. LONGZHOU ROM BACK TO BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902267
31,CHINESE TELECOM CORP. LONGZHOU DUSHAN BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902266
16,CHINESE TELECOM CORP. MAYANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838372
13,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED,,,,,,,,,,,jackcookripper,1260h,,48957794
39,CHINESE TELECOM CORP. LONGZHOU ON DROP XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902257
2,CHINA MOBILE LIMITED,,,,,,,,,,,jackcookripper,1260h,,6532609
17,CHINESE TELECOM CORP. MACHENG KAMEYAMA BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838370
32,CHINESE TELECOM CORP. LONGZHOU WUSHU XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902264
3,CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED,,,,,,,,,,,jackcookripper,1260h,,58692540
18,CHINESE TELECOM CORP. MACHENG HUANG JINQIAO BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838369
4,TENCENT HOLDINGS LIMITED,,,,,,,,,,,jackcookripper,1260h,,187613638
19,"CHINA TELECOM CO., LTD. LUZHAI BRANCH",,,,,,,,,,,jackcookripper,1260h,,270838363
5,"CENTRAL HUIJIN ASSET MANAGEMENT CO., LTD.",,,,,,,,,,,jackcookripper,1260h,,266142014
20,CHINESE TELECOM CORP. HIGH DENSITY BRANCH,,,,,,,,,,,jackcookripper,1260h,,329902136
33,CHINESE TELECOM CORP. LONGZHOU MR BRIDGE XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902263
21,CHINESE TELECOM CORP. GAOXIAN COUNTY BRANCH,,,,,,,,,,,jackcookripper,1260h,,329902135
6,"CHINA SECURITIES FINANCE CO.,LTD.",,,,,,,,,,,jackcookripper,1260h,,177494851
22,CHINESE TELECOM CORP. HEFENG WU YANG BRANCH OFFICE,,,,,,,,,,,jackcookripper,1260h,,329902148
45,CHINESE TELECOM CORP. JINGJIANG CHANGAN BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838263
34,CHINESE TELECOM CORP. LONGZHOU TOWN OF XIANGSHUI BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902262
40,CHINESE TELECOM CORP. LONGZHOU ON JINXIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902256
35,CHINESE TELECOM CORP. LONGZHOU STAR ANISE XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329902261
49,CHINESE TELECOM CORP. JINGJIANG LI SHI BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838259
41,"CHINA TELECOM CO., LTD. LONGCHUAN BRANCH",,,,,,,,,,,jackcookripper,1260h,,270838382
46,CHINESE TELECOM CORP. JINGJIANG RIVER BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838262
42,CHINESE TELECOM CORP. JINGXI SOUTHERN SLOPE XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431871
43,CHINESE TELECOM CORP. JINGJIANG MA BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838265
47,CHINESE TELECOM CORP. JINGJIANG WEST TO BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838261
50,CHINESE TELECOM CORP. JINGXI TONGDE XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431872
48,"CHINA TELECOM CO., LTD. JINGJIANG HONGGUANG SALES DEPARTMENT",,,,,,,,,,,jackcookripper,1260h,,270838260
52,CHINESE TELECOM CORP. JINGJIANG NEW BRIDGE BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838257
51,CHINESE TELECOM CORP. JINGJIANG STUDENTS TEMPLE BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838258
53,CHINESE TELECOM CORP. JINGJIANG SKEW BRIDGE BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838256
54,CHINESE TELECOM CORP. JINGJIANG LONDON RIGHTEOUSNESS BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838255
55,CHINESE TELECOM CORP. JINGJIANG GU SHAN BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838253
56,CHINESE TELECOM CORP. JINGJIANG SEASON CITY BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329902052
57,CHINESE TELECOM CORP. JING BIG JIANG SLEEP BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838252
58,CHINESE TELECOM CORP. JINGJIANG NORTH OF CITY BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838251
59,CHINESE TELECOM CORP. JINGJIANG CYPRESS BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329902054
60,CHINESE TELECOM CORP. JINGJIANG CITY BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838250
61,"CHINA TELECOM CO., LTD. JINGYUAN BRANCH",,,,,,,,,,,jackcookripper,1260h,,270838267
82,CHINESE TELECOM CORP. LANGAO ZUO DRAGON BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898744
62,CHINESE TELECOM CORP. JINGXI REN ZHUANG XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431874
63,CHINESE TELECOM CORP. JINGXI FRUIT LE XIANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431883
95,CHINESE TELECOM CORP. FUYUN DU HEAT XIANG CUSTOMER SERVICE DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898696
64,CHINESE TELECOM CORP. JINGJIANG LAND BRIDGE BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329902051
83,CHINESE TELECOM CORP. LANGAO TAO RIVER BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898750
65,CHINESE TELECOM CORP. JINGJIANG UNITY BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329902050
66,CHINESE TELECOM CORP. JINGJIANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838249
67,CHINESE TELECOM CORP. QINGCHUAN BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838228
84,CHINESE TELECOM CORP. LANGAO SHIMEN BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898751
68,CHINESE TELECOM CORP. JINGJIANG EIGHT WEI BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838248
69,"CHINA TELECOM CO., LTD. JINGJIANG RENMIN SOUTH ROAD SALES DEPARTMENT",,,,,,,,,,,jackcookripper,1260h,,270838247
103,CHINESE TELECOM CORP. CHANGZHOU HUANG LI BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,270836740
70,CHINESE TELECOM CORP. JINGJIANG DONGXING BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,270838246
85,CHINESE TELECOM CORP. LANGAO LIN RIVER BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898753
71,CHINESE TELECOM CORP. JINGZHOU BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838245
72,CHINESE TELECOM CORP. MA MIDDLE SCHOOL ROAD BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431892
96,"CHINA TELECOM CO., LTD. FUYUN BRANCH",,,,,,,,,,,jackcookripper,1260h,,270836658
73,CHINESE TELECOM CORP. SHUNCHANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270838289
86,CHINESE TELECOM CORP. MINXIAN BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836694
74,CHINESE TELECOM CORP. SHAOGUAN DOUBLE NINTH FESTIVAL CUSTOMER SERVICE CENTRE,,,,,,,,,,,jackcookripper,1260h,,329902085
75,"CHINA TELECOM CO., LTD. SHAOGUAN HUAPING CUSTOMER SERVICE CENTER",,,,,,,,,,,jackcookripper,1260h,,329902084
76,CHINESE TELECOM CORP. LANGAO DEMOCRACY BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898749
87,CHINESE TELECOM CORP. LANGAO FLOWERS LI BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898752
77,CHINESE TELECOM CORP. LANGAO OFFICER YUAN BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898748
78,CHINESE TELECOM CORP. LANGAO MENG SHILING BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898747
79,CHINESE TELECOM CORP. LANGAO AVENUE BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898746
88,"CHINA TELECOM CO., LTD. YUEYANG COUNTY BRANCH",,,,,,,,,,,jackcookripper,1260h,,270836693
80,CHINESE TELECOM CORP. LANGAO BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836684
81,CHINESE TELECOM CORP. LANGAO SIX BUSINESS DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898745
97,CHINESE TELECOM CORP. FUYUN COPPER MINE CUSTOMER SERVICE DEPARTMENT,,,,,,,,,,,jackcookripper,1260h,,329898701
89,"CHINA TELECOM CO., LTD. YUECHI BRANCH",,,,,,,,,,,jackcookripper,1260h,,270836690
113,CHINESE TELECOM CORP. WUXI CENTER BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329898796
90,"CHINA TELECOM CO., LTD. DAISHAN CHANGTU BUSINESS HALL",,,,,,,,,,,jackcookripper,1260h,,270836689
98,CHINESE TELECOM CORP. SHEYANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836671
91,"CHINA TELECOM CO., LTD. DAISHAN QUSHAN BUSINESS OFFICE",,,,,,,,,,,jackcookripper,1260h,,270836688
92,"CHINA TELECOM CO., LTD. DAISHAN GONGMEN BUSINESS HALL",,,,,,,,,,,jackcookripper,1260h,,270836687
104,CHINESE TELECOM CORP. CHANGZHOU HUTANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,270836739
93,"CHINA TELECOM CO., LTD. DAISHAN BRANCH",,,,,,,,,,,jackcookripper,1260h,,270836686
99,CHINESE TELECOM CORP. SHOUGUANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836663
94,"CHINA TELECOMMUNICATIONS CO., LTD. YUEYANG CLOUD CREEK SUBSTATION",,,,,,,,,,,jackcookripper,1260h,,270836692
108,"CHINA TELECOM CO., LTD. SHENGSI YANGSHAN BUSINESS HALL",,,,,,,,,,,jackcookripper,1260h,,270836704
100,CHINESE TELECOM CORP. CHANGZHOU BEFORE HUANG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,270836725
105,CHINESE TELECOM CORP. CHANGZHOU NEW DISTRICT BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,270836734
101,CHINESE TELECOM CORP. CHANGZHOU BEN CATTLE BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329898849
102,CHINESE TELECOM CORP. CHANGZHOU LUO XI BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329898855
111,CHINESE TELECOM CORP. SHENGZHOU BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836701
106,CHINESE TELECOM CORP. CHANGZHOU ZHAI BRIDGE BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,329898850
109,"CHINA TELECOM CO., LTD. SHENGSI BRANCH",,,,,,,,,,,jackcookripper,1260h,,270836703
107,"CHINA TELECOM CO., LTD. SHENGSI HUANGLONG BUSINESS HALL",,,,,,,,,,,jackcookripper,1260h,,270836705
110,"CHINA TELECOM CO., LTD. SHENGSI YUNLONG ROAD BUSINESS HALL",,,,,,,,,,,jackcookripper,1260h,,270836702
112,CHINESE TELECOM CORP. BAYAN BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836711
114,"CHINA TELECOMMUNICATIONS CO., LTD. YICHANG BRIDGE BESIDE BUSINESS OFFICE",,,,,,,,,,,jackcookripper,1260h,,421431483
115,CHINESE TELECOM CORP. YICHANG TUCHENG BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431482
116,CHINESE TELECOM CORP. YICHANG XIAOTING BUSINESS HALL,,,,,,,,,,,jackcookripper,1260h,,421431484
117,CHINESE TELECOM CORP. YIXING WHALE TANG BUSINESS,,,,,,,,,,,jackcookripper,1260h,,270836630
118,"CHINA TELECOMMUNICATIONS CO., LTD. YICHANG AI HOME BUSINESS OFFICE",,,,,,,,,,,jackcookripper,1260h,,421431485
119,CHINESE TELECOM CORP. YI XING FANG ZHUANG BUSINESS,,,,,,,,,,,jackcookripper,1260h,,270836629
1872,"JGL, INC.",,,,,,,,,,,jackcookripper,1260h,,550777594
120,CHINESE TELECOM CORP. YIXING RETURN DIAMETER BUSINESS,,,,,,,,,,,jackcookripper,1260h,,270836626
715,CHINESE TELECOM CORP. MAGNOLIA BRANCH,,,,,,,,,,,jackcookripper,1260h,,270837207
121,CHINESE TELECOM CORP. YIXING ZHANG ZHU BUSINESS,,,,,,,,,,,jackcookripper,1260h,,329898552
122,CHINESE TELECOM CORP. YIXING WAN SHI BUSINESS,,,,,,,,,,,jackcookripper,1260h,,329898548
123,CHINESE TELECOM CORP. KUANDIAN BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836651
142,CHINESE TELECOM CORP. YILIANG BRANCH,,,,,,,,,,,jackcookripper,1260h,,270836899
